Име,Училище,Град,Област,Резултат_Кенг
800001,,,Ямбол,70
800002,,,Ямбол,69
800003,,,Ямбол,68
800004,,,Ямбол,68
800005,,,Ямбол,68
800006,,,Ямбол,67
800007,,,Ямбол,65
800008,,,Ямбол,65
800009,,,Ямбол,64
800010,,,Ямбол,63
800011,,,Ямбол,62
800012,,,Ямбол,61
800013,,,Ямбол,60
800014,,,Ямбол,60
800015,,,Ямбол,58
800016,,,Ямбол,58
800017,,,Ямбол,54
800018,,,Ямбол,54
800019,,,Ямбол,54
800020,,,Ямбол,54
800021,,,Ямбол,53
800022,,,Ямбол,53
800023,,,Ямбол,52
800024,,,Ямбол,52
800025,,,Ямбол,52
800026,,,Ямбол,50
800027,,,Ямбол,47
800028,,,Ямбол,47
800029,,,Ямбол,47
800030,,,Ямбол,46
800031,,,Ямбол,46
800032,,,Ямбол,45
800033,,,Ямбол,44
800034,,,Ямбол,44
800035,,,Ямбол,43
800036,,,Ямбол,43
800037,,,Ямбол,43
800038,,,Ямбол,42
800039,,,Ямбол,42
800040,,,Ямбол,42
800041,,,Ямбол,41
800042,,,Ямбол,41
800043,,,Ямбол,40
800044,,,Ямбол,38
800045,,,Ямбол,38
800046,,,Ямбол,38
800047,,,Ямбол,37
800048,,,Ямбол,37
800049,,,Ямбол,37
800050,,,Ямбол,36
800051,,,Ямбол,36
800052,,,Ямбол,35
800053,,,Ямбол,35
800054,,,Ямбол,35
800055,,,Ямбол,34
800056,,,Ямбол,33
800057,,,Ямбол,33
800058,,,Ямбол,31
800059,,,Ямбол,30
800060,,,Ямбол,30
800061,,,Ямбол,30
800062,,,Ямбол,28
800063,,,Ямбол,28
800064,,,Ямбол,27
800065,,,Ямбол,26
800066,,,Ямбол,26
800067,,,Ямбол,25
800068,,,Ямбол,25
800069,,,Ямбол,25
800070,,,Ямбол,24
800071,,,Ямбол,24
800072,,,Ямбол,24
800073,,,Ямбол,24
800074,,,Ямбол,23
800075,,,Ямбол,23
800076,,,Ямбол,23
800077,,,Ямбол,22
800078,,,Ямбол,21
800079,,,Ямбол,21
800080,,,Ямбол,20
800081,,,Ямбол,20
800082,,,Ямбол,20
800083,,,Ямбол,20
800084,,,Ямбол,19
800085,,,Ямбол,19
800086,,,Ямбол,18
800087,,,Ямбол,16
800088,,,Ямбол,16
800089,,,Ямбол,15
800090,,,Ямбол,14
800091,,,Ямбол,14
800092,,,Ямбол,12
800093,,,Ямбол,9
800094,,,Ямбол,3
