Име,Училище,Град,Област,Резултат_МатВс
901008,,,Ямбол,10
901011,,,Ямбол,11
901620,,,Ямбол,3.5
901280,,,Ямбол,11
901700,,,Ямбол,12
901150,,,Ямбол,9
901293,,,Ямбол,12.5
901260,,,Ямбол,7.5
901309,,,Ямбол,5.5
901315,,,Ямбол,5.5
901110,,,Ямбол,3.5
901190,,,Ямбол,6
901600,,,Ямбол,5
901302,,,Ямбол,3.5
901401,,,Ямбол,5
901304,,,Ямбол,5
901920,,,Ямбол,7
901510,,,Ямбол,7
901312,,,Ямбол,7
901314,,,Ямбол,3.5
901307,,,Ямбол,4
901160,,,Ямбол,5
901294,,,Ямбол,5
901002,,,Ямбол,7
901840,,,Ямбол,13
901004,,,Ямбол,12
901007,,,Ямбол,4
901270,,,Ямбол,10.5
901010,,,Ямбол,9
901180,,,Ямбол,2
901310,,,Ямбол,5
901120,,,Ямбол,12
901016,,,Ямбол,4
901301,,,Ямбол,4
901230,,,Ямбол,3
901140,,,Ямбол,4
901308,,,Ямбол,3
901317,,,Ямбол,2
901013,,,Ямбол,16
901305,,,Ямбол,6
901240,,,Ямбол,6
901006,,,Ямбол,4
901313,,,Ямбол,15
901220,,,Ямбол,6.5
901970,,,Ямбол,7
901014,,,Ямбол,2
901500,,,Ямбол,15
901960,,,Ямбол,5
901316,,,Ямбол,4
901003,,,Ямбол,4
901170,,,Ямбол,7
901012,,,Ямбол,8.5
901290,,,Ямбол,9
901009,,,Ямбол,5.5
901015,,,Ямбол,10
901001,,,Ямбол,9.5
901402,,,Ямбол,5
901210,,,Ямбол,8
901910,,,Ямбол,10
901165,,,Ямбол,3.5
901250,,,Ямбол,10
