Име,Училище,Град,Област,Резултат_Олимпиада,Резултат_ПМС,Резултат_МатВс,Резултат_Кенг
901001,,,Ямбол,20.0,20.0,9.5,
901002,,,Ямбол,5.0,1.75,7.0,
901003,,,Ямбол,7.5,6.0,4.0,
901004,,,Ямбол,9.0,11.5,12.0,
901005,,,Ямбол,6.0,5.75,,
901006,,,Ямбол,4.5,7.5,4.0,
901007,,,Ямбол,11.5,8.25,4.0,
901008,,,Ямбол,7.5,11.5,10.0,
901009,,,Ямбол,6.0,11.5,5.5,
901010,,,Ямбол,3.5,4.5,9.0,
901011,,,Ямбол,10.0,7.75,11.0,
901012,,,Ямбол,6.0,6.75,8.5,
901013,,,Ямбол,18.5,22.5,16.0,
901014,,,Ямбол,9.5,4.5,2.0,
901015,,,Ямбол,13.0,12.75,10.0,
901016,,,Ямбол,7.0,5.5,4.0,
901100,,,Ямбол,12.0,12.0,,
901110,,,Ямбол,5.0,0.0,3.5,
901120,,,Ямбол,8.5,11.75,12.0,
901130,,,Ямбол,8.5,,,
901140,,,Ямбол,3.5,5.25,4.0,
901150,,,Ямбол,6.0,6.0,9.0,
901160,,,Ямбол,10.5,8.25,5.0,
901165,,,Ямбол,6.5,2.25,3.5,
901170,,,Ямбол,3.5,2.5,7.0,
901180,,,Ямбол,6.5,7.25,2.0,
901190,,,Ямбол,6.5,6.25,6.0,
901199,,,Ямбол,8.5,,,
901210,,,Ямбол,3.5,12.25,8.0,
901220,,,Ямбол,11.0,5.75,6.5,
901230,,,Ямбол,7.0,2.25,3.0,
901240,,,Ямбол,4.0,6.75,6.0,
901250,,,Ямбол,8.0,12.5,10.0,
901260,,,Ямбол,9.5,12.0,7.5,
901270,,,Ямбол,9.5,12.75,10.5,
901280,,,Ямбол,12.5,10.5,11.0,
901290,,,Ямбол,16.5,14.5,9.0,
901292,,,Ямбол,12.0,,,
901293,,,Ямбол,10.0,7.5,12.5,
901294,,,Ямбол,11.5,13.25,5.0,
901301,,,Ямбол,,4.25,4.0,
901302,,,Ямбол,,1.25,3.5,
901303,,,Ямбол,,4.5,,
901304,,,Ямбол,,3.75,5.0,
901305,,,Ямбол,,2.5,6.0,
901306,,,Ямбол,,2.0,,
901307,,,Ямбол,,5.0,4.0,
901308,,,Ямбол,,2.25,3.0,
901309,,,Ямбол,,2.0,5.5,
901310,,,Ямбол,,4.25,5.0,
901311,,,Ямбол,,4.5,,
901312,,,Ямбол,,4.25,7.0,
901313,,,Ямбол,,8.5,15.0,
901314,,,Ямбол,,4.25,3.5,
901315,,,Ямбол,,5.25,5.5,
901316,,,Ямбол,,3.75,4.0,
901317,,,Ямбол,,3.75,2.0,
901318,,,Ямбол,,2.0,,
901401,,,Ямбол,,,5.0,
901402,,,Ямбол,,,5.0,
901440,,,Ямбол,5.0,,,
901500,,,Ямбол,13.0,26.0,15.0,
901510,,,Ямбол,10.0,7.5,7.0,
901550,,,Ямбол,6.5,,,
901600,,,Ямбол,8.0,6.0,5.0,
901620,,,Ямбол,7.0,8.25,3.5,
901700,,,Ямбол,13.0,7.75,12.0,
901730,,,Ямбол,4.0,1.25,,
901840,,,Ямбол,15.0,13.25,13.0,
901910,,,Ямбол,5.5,24.75,10.0,
901920,,,Ямбол,8.0,12.0,7.0,
901930,,,Ямбол,4.0,0.0,,
901950,,,Ямбол,6.5,,,
901960,,,Ямбол,7.0,4.25,5.0,
901970,,,Ямбол,8.5,11.75,7.0,
901980,,,Ямбол,9.5,,,
901990,,,Ямбол,21.0,,,
800001,,,Ямбол,,,,70.0
800002,,,Ямбол,,,,69.0
800003,,,Ямбол,,,,68.0
800004,,,Ямбол,,,,68.0
800005,,,Ямбол,,,,68.0
800006,,,Ямбол,,,,67.0
800007,,,Ямбол,,,,65.0
800008,,,Ямбол,,,,65.0
800009,,,Ямбол,,,,64.0
800010,,,Ямбол,,,,63.0
800011,,,Ямбол,,,,62.0
800012,,,Ямбол,,,,61.0
800013,,,Ямбол,,,,60.0
800014,,,Ямбол,,,,60.0
800015,,,Ямбол,,,,58.0
800016,,,Ямбол,,,,58.0
800017,,,Ямбол,,,,54.0
800018,,,Ямбол,,,,54.0
800019,,,Ямбол,,,,54.0
800020,,,Ямбол,,,,54.0
800021,,,Ямбол,,,,53.0
800022,,,Ямбол,,,,53.0
800023,,,Ямбол,,,,52.0
800024,,,Ямбол,,,,52.0
800025,,,Ямбол,,,,52.0
800026,,,Ямбол,,,,50.0
800027,,,Ямбол,,,,47.0
800028,,,Ямбол,,,,47.0
800029,,,Ямбол,,,,47.0
800030,,,Ямбол,,,,46.0
800031,,,Ямбол,,,,46.0
800032,,,Ямбол,,,,45.0
800033,,,Ямбол,,,,44.0
800034,,,Ямбол,,,,44.0
800035,,,Ямбол,,,,43.0
800036,,,Ямбол,,,,43.0
800037,,,Ямбол,,,,43.0
800038,,,Ямбол,,,,42.0
800039,,,Ямбол,,,,42.0
800040,,,Ямбол,,,,42.0
800041,,,Ямбол,,,,41.0
800042,,,Ямбол,,,,41.0
800043,,,Ямбол,,,,40.0
