Име,Училище,Град,Област,Резултат_Олимпиада
901001,,,Ямбол,20
901002,,,Ямбол,5
901003,,,Ямбол,7.5
901004,,,Ямбол,9
901005,,,Ямбол,6
901006,,,Ямбол,4.5
901007,,,Ямбол,11.5
901008,,,Ямбол,7.5
901009,,,Ямбол,6
901010,,,Ямбол,3.5
901011,,,Ямбол,10
901012,,,Ямбол,6
901013,,,Ямбол,18.5
901014,,,Ямбол,9.5
901015,,,Ямбол,13
901016,,,Ямбол,7
901100,,,Ямбол,12
901110,,,Ямбол,5
901120,,,Ямбол,8.5
901130,,,Ямбол,8.5
901140,,,Ямбол,3.5
901150,,,Ямбол,6
901160,,,Ямбол,10.5
901165,,,Ямбол,6.5
901170,,,Ямбол,3.5
901180,,,Ямбол,6.5
901190,,,Ямбол,6.5
901199,,,Ямбол,8.5
901210,,,Ямбол,3.5
901220,,,Ямбол,11
901230,,,Ямбол,7
901240,,,Ямбол,4
901250,,,Ямбол,8
901260,,,Ямбол,9.5
901270,,,Ямбол,9.5
901280,,,Ямбол,12.5
901290,,,Ямбол,16.5
901292,,,Ямбол,12
901293,,,Ямбол,10
901294,,,Ямбол,11.5
901440,,,Ямбол,5
901500,,,Ямбол,13
901510,,,Ямбол,10
901550,,,Ямбол,6.5
901600,,,Ямбол,8
901620,,,Ямбол,7
901700,,,Ямбол,13
901730,,,Ямбол,4
901840,,,Ямбол,15
901910,,,Ямбол,5.5
901920,,,Ямбол,8
901930,,,Ямбол,4
901950,,,Ямбол,6.5
901960,,,Ямбол,7
901970,,,Ямбол,8.5
901980,,,Ямбол,9.5
901990,,,Ямбол,21
